supplier_id,supplier_name,category,region,on_time_delivery_pct,quality_score,cost_variance_pct,avg_lead_time_days,defect_rate_pct,compliance_score,risk_score,total_orders,avg_order_value_usd,late_deliveries,contract_breach_count,supplier_performance_score,supplier_segment
SUP1031,Supplier_31,Mechanical Parts,APAC,81.6,62.51,14.25,25.7,3.67,72.33,21.12,54,139406.02,17,4,70.76,Preferred
SUP1032,Supplier_32,Mechanical Parts,India,95.2,93.57,4.28,23.7,0.62,94.78,31.32,452,188126.3,5,4,89.81,Strategic
SUP1033,Supplier_33,Raw Materials,Europe,86.04,60.15,-6.42,8.4,5.37,90.56,17.88,310,53749.75,31,0,75.15,Preferred
SUP1034,Supplier_34,Packaging,North America,81.32,69.87,-0.64,31.7,6.57,69.91,90.19,260,109348.5,20,4,62.99,Approved
SUP1035,Supplier_35,Chemicals,India,72.97,89.64,9.94,11.0,1.96,61.45,39.72,340,139473.56,39,4,73.97,Preferred
SUP1036,Supplier_36,Packaging,APAC,73.32,72.65,-0.82,18.7,3.37,64.07,24.53,174,137453.17,27,0,73.81,Preferred
SUP1037,Supplier_37,Chemicals,Europe,86.78,64.08,-7.82,22.4,6.71,89.14,44.84,202,54194.4,26,4,70.3,Preferred
SUP1038,Supplier_38,Raw Materials,APAC,99.77,74.41,3.92,49.5,7.02,67.99,32.05,18,119412.65,1,0,75.74,Preferred
SUP1039,Supplier_39,Electronics,APAC,86.47,70.82,11.13,53.2,1.95,74.85,74.44,410,160203.06,32,2,69.1,Approved
SUP1040,Supplier_40,Mechanical Parts,Europe,82.31,93.71,9.9,21.6,4.4,80.07,97.12,383,97640.4,15,3,69.08,Approved
SUP1041,Supplier_41,Raw Materials,APAC,89.23,72.53,-5.62,52.2,1.54,89.02,43.8,74,159693.12,38,0,79.0,Preferred
SUP1042,Supplier_42,Mechanical Parts,Europe,78.61,91.56,6.82,52.1,0.82,64.53,86.1,396,75177.11,21,0,71.44,Preferred
SUP1043,Supplier_43,Electronics,India,62.41,95.67,-4.49,47.1,7.29,76.25,56.59,291,188058.22,42,4,68.83,Approved
SUP1044,Supplier_44,Electronics,Europe,82.49,77.35,-4.54,13.1,6.56,79.4,15.72,190,109116.05,46,0,76.59,Preferred
SUP1045,Supplier_45,Raw Materials,Europe,98.31,96.4,11.85,43.0,6.08,81.63,69.06,424,121209.85,12,1,75.93,Preferred
SUP1046,Supplier_46,Electronics,North America,67.01,75.09,-3.76,57.0,0.39,92.73,51.34,291,11115.51,1,1,75.22,Preferred
SUP1047,Supplier_47,Chemicals,Europe,87.6,98.56,-3.42,42.5,6.75,66.87,65.06,288,38202.48,13,2,74.04,Preferred
SUP1048,Supplier_48,Electronics,Europe,68.04,63.57,-9.98,23.2,3.5,92.31,88.97,39,128422.11,37,0,61.91,Approved
SUP1049,Supplier_49,Mechanical Parts,India,81.43,87.48,11.77,32.5,2.74,87.72,44.04,275,86874.72,40,4,77.51,Preferred
SUP1050,Supplier_50,Mechanical Parts,North America,63.87,79.75,9.81,40.5,4.37,82.23,90.12,337,104091.94,27,4,62.41,Approved
SUP1051,Supplier_51,Mechanical Parts,Middle East,78.01,75.51,5.68,33.1,0.73,87.98,75.07,226,17279.42,6,3,72.88,Preferred
SUP1052,Supplier_52,Mechanical Parts,India,90.25,85.31,8.76,11.6,6.05,76.48,48.86,329,167656.37,17,2,74.35,Preferred
SUP1053,Supplier_53,Chemicals,India,73.9,88.15,-6.2,22.2,4.66,65.54,60.32,415,157978.59,40,4,69.78,Approved
SUP1054,Supplier_54,Packaging,Middle East,86.6,60.17,1.46,49.1,1.49,86.63,32.56,408,41144.03,35,3,77.88,Preferred
SUP1055,Supplier_55,Raw Materials,Europe,91.82,66.68,-1.22,52.4,1.51,80.99,98.36,388,128694.22,40,4,70.14,Preferred
SUP1056,Supplier_56,Mechanical Parts,APAC,97.09,88.52,-7.66,12.6,1.47,85.57,66.74,114,164571.47,35,3,80.46,Preferred
SUP1057,Supplier_57,Electronics,North America,69.39,86.66,2.15,57.4,0.46,73.52,4.38,193,129966.56,43,1,83.28,Preferred
SUP1058,Supplier_58,Mechanical Parts,APAC,75.97,98.64,13.02,23.1,4.7,96.27,32.66,339,65527.63,3,1,79.59,Preferred
SUP1059,Supplier_59,Electronics,Middle East,66.1,90.44,-9.0,41.4,6.72,83.49,62.33,157,132941.67,29,4,67.89,Approved
SUP1060,Supplier_60,Electronics,India,99.7,98.03,-2.71,46.4,0.14,63.42,5.63,114,46040.04,23,2,92.15,Strategic
SUP1061,Supplier_61,Mechanical Parts,India,97.08,88.1,-4.81,49.7,0.39,77.99,2.39,56,67059.72,19,0,90.8,Strategic
SUP1062,Supplier_62,Chemicals,North America,81.6,71.92,-4.05,57.0,4.58,90.25,45.0,96,51813.58,45,2,74.37,Preferred
SUP1063,Supplier_63,Electronics,India,93.68,64.21,12.71,22.2,6.56,91.77,33.27,318,113600.39,30,2,72.87,Preferred
SUP1064,Supplier_64,Electronics,India,80.84,91.27,1.7,52.2,2.61,79.78,43.83,446,26104.2,23,0,80.3,Preferred
SUP1065,Supplier_65,Mechanical Parts,North America,84.94,85.77,1.66,12.2,2.8,95.79,26.27,138,186995.52,6,1,84.81,Preferred
SUP1066,Supplier_66,Electronics,North America,63.56,61.93,9.01,43.8,4.77,70.71,16.47,267,70034.91,25,1,67.04,Approved
SUP1067,Supplier_67,Electronics,Middle East,90.21,74.4,-6.14,45.8,2.19,76.42,68.91,323,47699.17,12,0,73.25,Preferred
SUP1068,Supplier_68,Mechanical Parts,India,65.11,98.27,2.18,42.3,0.21,95.94,51.46,156,101827.21,7,3,81.65,Preferred
SUP1069,Supplier_69,Mechanical Parts,India,93.04,80.02,0.75,18.9,5.88,95.85,20.02,455,59014.57,4,2,83.53,Preferred
SUP1070,Supplier_70,Raw Materials,Middle East,91.28,77.31,4.92,53.0,5.01,87.43,31.96,471,109306.3,43,4,78.98,Preferred
SUP1071,Supplier_71,Chemicals,Europe,88.35,78.31,14.99,14.3,4.65,94.36,59.18,81,72959.28,12,1,72.8,Preferred
SUP1072,Supplier_72,Chemicals,Europe,61.45,68.36,9.24,7.9,5.93,63.55,7.22,495,30753.03,28,4,67.2,Approved
SUP1073,Supplier_73,Electronics,Europe,72.13,74.75,-0.05,44.5,5.4,94.6,14.75,149,56849.57,19,0,78.28,Preferred
SUP1074,Supplier_74,Chemicals,Middle East,70.52,74.79,10.69,31.2,1.65,72.82,7.32,419,90495.77,13,4,76.3,Preferred
SUP1075,Supplier_75,Electronics,India,74.41,62.09,-5.73,51.7,2.82,67.13,81.23,36,10907.18,31,4,62.47,Approved
SUP1076,Supplier_76,Raw Materials,Middle East,63.51,90.7,-9.24,26.1,1.01,69.57,75.24,38,155275.29,49,2,68.92,Approved
SUP1077,Supplier_77,Mechanical Parts,Middle East,97.48,76.66,-4.89,14.3,1.04,76.72,75.33,280,126255.79,26,0,76.24,Preferred
SUP1078,Supplier_78,Mechanical Parts,Europe,82.15,92.89,-1.49,51.0,5.41,70.05,71.63,183,122265.12,24,4,72.67,Preferred
SUP1079,Supplier_79,Mechanical Parts,APAC,72.22,94.01,2.76,35.2,6.87,72.82,66.94,262,111479.74,3,1,69.74,Approved
SUP1080,Supplier_80,Chemicals,India,75.88,68.48,5.38,15.4,7.7,65.4,47.7,394,120111.07,20,0,64.43,Approved
SUP1081,Supplier_81,Raw Materials,Europe,77.89,86.29,12.77,44.6,5.03,71.85,64.23,69,187257.13,17,1,68.33,Approved
SUP1082,Supplier_82,Chemicals,APAC,84.02,78.89,2.75,33.1,1.47,82.89,3.84,116,6671.0,38,3,85.29,Strategic
SUP1083,Supplier_83,Chemicals,APAC,80.63,95.21,2.53,38.2,0.85,77.67,62.15,229,14320.94,14,4,79.68,Preferred
SUP1084,Supplier_84,Raw Materials,North America,96.78,68.63,-8.74,30.3,6.5,73.87,77.79,450,42341.21,37,0,66.64,Approved
SUP1085,Supplier_85,Raw Materials,India,79.88,87.11,-9.13,50.6,4.63,89.86,50.04,268,37623.77,47,1,75.35,Preferred
SUP1086,Supplier_86,Raw Materials,APAC,99.69,84.31,3.78,50.6,4.95,95.74,35.75,380,40332.92,23,4,83.91,Preferred
SUP1087,Supplier_87,Raw Materials,Europe,94.06,71.81,0.95,44.0,6.25,90.27,27.74,155,136029.06,7,2,79.31,Preferred
SUP1088,Supplier_88,Mechanical Parts,North America,68.34,65.46,10.98,10.8,5.63,73.28,64.28,61,94599.24,27,1,60.88,Approved
SUP1089,Supplier_89,Packaging,India,97.22,86.07,-5.98,51.1,6.68,89.78,69.28,69,198396.88,20,1,75.42,Preferred
SUP1090,Supplier_90,Packaging,Middle East,64.65,89.54,-9.38,41.9,0.45,66.08,87.1,43,49242.75,15,3,67.13,Approved
SUP1091,Supplier_91,Raw Materials,Europe,92.7,72.63,1.23,43.3,5.98,65.21,34.23,105,65611.87,15,2,74.63,Preferred
SUP1092,Supplier_92,Packaging,APAC,75.22,85.79,-4.06,25.0,6.81,73.83,76.98,486,196926.94,34,3,66.75,Approved
SUP1093,Supplier_93,Packaging,APAC,95.12,75.81,-8.76,53.4,2.29,92.31,56.14,98,167192.84,16,2,78.24,Preferred
SUP1094,Supplier_94,Raw Materials,Europe,94.72,88.53,8.11,44.9,5.12,69.85,88.28,325,96610.85,8,1,70.49,Preferred
SUP1095,Supplier_95,Packaging,APAC,92.24,67.97,-7.21,11.2,2.51,62.53,52.78,419,113146.39,34,3,71.84,Preferred
SUP1096,Supplier_96,Chemicals,North America,91.6,95.61,5.21,27.4,7.66,65.27,51.76,240,169419.69,28,4,74.61,Preferred
SUP1097,Supplier_97,Electronics,India,72.19,71.5,-2.97,53.8,0.27,94.35,57.79,465,98791.15,38,2,75.25,Preferred
SUP1098,Supplier_98,Electronics,North America,63.24,74.71,-5.66,7.6,4.64,85.35,74.93,284,45174.63,17,1,64.71,Approved
SUP1099,Supplier_99,Raw Materials,APAC,76.12,62.32,-0.51,57.9,1.33,70.13,96.47,255,166546.69,11,0,64.18,Approved
SUP1100,Supplier_100,Mechanical Parts,Middle East,66.94,64.46,10.04,42.4,5.7,82.21,7.36,120,109865.64,18,2,70.37,Preferred
SUP1101,Supplier_101,Raw Materials,India,87.8,80.63,-0.2,39.7,1.41,81.1,5.34,243,34843.31,47,2,87.0,Strategic
SUP1102,Supplier_102,Mechanical Parts,India,73.84,70.7,8.77,19.9,1.88,86.22,93.76,287,103589.24,21,4,65.49,Approved
SUP1103,Supplier_103,Electronics,Europe,99.02,93.42,-6.86,18.7,3.95,69.33,52.99,486,85574.66,48,2,79.55,Preferred
SUP1104,Supplier_104,Raw Materials,Europe,85.64,60.59,9.32,56.8,7.32,94.58,61.49,426,175984.29,14,2,66.4,Approved
SUP1105,Supplier_105,Chemicals,Middle East,92.9,75.16,-4.08,21.4,1.69,72.37,48.24,175,29580.81,0,4,77.72,Preferred
SUP1106,Supplier_106,Packaging,India,65.3,73.49,6.93,47.7,1.15,87.77,9.37,137,175665.91,1,4,78.23,Preferred
SUP1107,Supplier_107,Mechanical Parts,Middle East,94.48,60.77,4.14,26.6,6.07,60.64,76.81,246,104881.15,7,3,64.08,Approved
SUP1108,Supplier_108,Packaging,Europe,96.91,64.97,13.23,12.7,4.0,74.91,74.72,300,83851.06,21,1,67.53,Approved
SUP1109,Supplier_109,Packaging,Europe,79.48,76.55,-0.32,5.6,7.29,74.07,31.17,116,36583.6,24,1,73.06,Preferred
SUP1110,Supplier_110,Raw Materials,India,84.25,79.71,-8.35,34.9,1.17,81.74,30.62,137,141659.5,1,3,79.98,Preferred
SUP1111,Supplier_111,Packaging,North America,90.59,76.17,-9.52,58.7,5.17,62.91,83.78,204,185727.31,8,1,65.53,Approved
SUP1112,Supplier_112,Chemicals,APAC,66.99,81.24,10.67,25.3,1.86,91.61,7.24,348,78198.58,8,2,79.65,Preferred
SUP1113,Supplier_113,Packaging,Europe,80.1,83.81,3.12,24.6,1.25,68.71,88.11,403,52109.08,12,3,70.88,Preferred
SUP1114,Supplier_114,Raw Materials,Europe,75.95,60.4,9.38,23.9,5.47,87.08,25.67,484,113199.05,5,3,70.02,Preferred
SUP1115,Supplier_115,Chemicals,North America,65.85,78.56,-4.14,33.6,4.75,92.13,59.3,152,160256.26,29,1,70.04,Preferred
SUP1116,Supplier_116,Electronics,North America,74.7,98.54,-1.37,29.2,6.04,82.48,93.6,404,5734.7,14,0,70.19,Preferred
SUP1117,Supplier_117,Packaging,Middle East,62.73,80.76,-9.25,53.4,2.48,89.64,67.81,120,128118.6,14,1,68.89,Approved
SUP1118,Supplier_118,Raw Materials,Middle East,61.03,87.1,14.04,32.8,3.58,86.47,41.44,99,121320.62,49,0,71.0,Preferred
SUP1119,Supplier_119,Electronics,APAC,65.41,72.47,6.7,32.9,3.24,74.22,68.95,260,67039.68,6,3,65.01,Approved
SUP1120,Supplier_120,Electronics,APAC,98.52,90.96,13.33,12.6,7.87,92.35,34.4,289,93027.49,10,0,79.19,Preferred
SUP1121,Supplier_121,Mechanical Parts,India,81.98,90.92,-3.36,59.1,2.34,71.79,27.73,342,53157.83,39,2,81.49,Preferred
SUP1122,Supplier_122,Chemicals,Middle East,98.63,80.85,5.29,18.7,2.36,82.85,99.67,233,159027.72,37,4,73.4,Preferred
SUP1123,Supplier_123,Packaging,Europe,77.3,99.04,6.96,9.0,2.84,89.82,75.08,110,128734.31,39,0,76.37,Preferred
SUP1124,Supplier_124,Raw Materials,Middle East,72.47,65.02,-2.06,41.5,4.52,75.16,64.47,141,108878.77,1,4,65.84,Approved
SUP1125,Supplier_125,Mechanical Parts,Europe,80.25,60.68,11.2,37.7,2.02,72.11,35.53,22,81542.61,47,2,70.34,Preferred
SUP1126,Supplier_126,Chemicals,North America,77.58,90.81,13.68,27.8,7.32,78.37,4.92,466,61819.96,38,4,76.69,Preferred
SUP1127,Supplier_127,Mechanical Parts,Middle East,64.23,92.29,12.12,28.2,2.13,92.72,3.11,450,165433.61,9,2,81.81,Preferred
SUP1128,Supplier_128,Chemicals,North America,85.63,64.81,8.48,48.2,7.17,97.2,55.42,107,93024.5,43,4,69.16,Approved
SUP1129,Supplier_129,Chemicals,APAC,68.64,70.62,-3.06,15.8,0.83,81.8,76.2,129,102782.25,16,4,68.91,Approved
SUP1130,Supplier_130,Packaging,APAC,84.78,60.7,-2.96,50.1,5.25,86.46,53.74,302,106561.6,6,1,70.14,Preferred
SUP1131,Supplier_131,Chemicals,India,86.01,71.73,14.08,40.7,7.26,96.13,84.08,313,92431.55,39,0,64.76,Approved
SUP1132,Supplier_132,Mechanical Parts,Middle East,66.08,90.93,-9.74,28.0,1.35,63.94,3.34,208,54937.24,38,4,79.07,Preferred
SUP1133,Supplier_133,Chemicals,North America,62.45,80.72,7.9,30.2,7.75,69.28,36.68,10,28466.39,3,3,65.56,Approved
SUP1134,Supplier_134,Packaging,Europe,91.23,73.92,7.66,19.1,3.62,88.36,23.71,69,24214.77,34,1,80.07,Preferred
SUP1135,Supplier_135,Packaging,APAC,78.39,74.87,5.57,46.4,7.57,92.95,44.73,259,152705.19,46,0,71.31,Preferred
SUP1136,Supplier_136,Mechanical Parts,APAC,62.33,60.05,14.75,33.2,5.41,94.28,7.24,149,48587.93,35,1,68.82,Approved
SUP1137,Supplier_137,Electronics,Europe,99.79,71.99,-2.2,22.6,2.41,76.6,95.41,158,15856.2,30,0,72.05,Preferred
SUP1138,Supplier_138,Electronics,North America,62.31,85.86,-1.5,37.8,1.51,63.57,22.33,404,160515.89,24,2,76.27,Preferred
SUP1139,Supplier_139,Chemicals,North America,87.8,98.97,-8.03,59.8,2.43,77.51,92.23,53,35042.02,40,4,74.65,Preferred
SUP1140,Supplier_140,Raw Materials,Middle East,99.35,93.88,1.07,28.9,0.74,69.23,42.59,380,126903.49,12,3,86.24,Strategic
SUP1141,Supplier_141,Chemicals,Middle East,69.57,60.94,-3.47,55.6,1.15,71.65,98.55,195,71035.44,17,1,61.4,Approved
SUP1142,Supplier_142,Mechanical Parts,India,65.69,95.94,-1.42,24.0,0.84,90.89,55.41,117,29663.65,20,1,79.46,Preferred
SUP1143,Supplier_143,Mechanical Parts,APAC,64.86,91.33,10.86,8.0,3.38,63.02,93.08,53,85823.79,47,1,62.9,Approved
SUP1144,Supplier_144,Mechanical Parts,Middle East,72.13,91.22,13.39,16.2,6.36,93.1,0.53,87,7887.73,0,1,79.35,Preferred
SUP1145,Supplier_145,Mechanical Parts,North America,64.04,78.32,-5.36,28.0,1.13,77.11,74.82,235,169003.77,35,4,68.2,Approved
SUP1146,Supplier_146,Mechanical Parts,Europe,87.69,75.92,-0.69,17.1,1.04,83.84,90.31,171,105132.1,49,0,73.69,Preferred
SUP1147,Supplier_147,Packaging,North America,62.49,72.12,13.22,5.0,5.15,63.59,13.97,290,32136.2,7,4,66.98,Approved
SUP1148,Supplier_148,Electronics,APAC,80.38,62.63,-8.45,55.3,1.58,73.49,9.61,262,51211.16,47,2,76.22,Preferred
SUP1149,Supplier_149,Mechanical Parts,North America,99.87,69.13,-7.69,51.4,0.78,63.59,42.46,141,92355.16,20,4,77.33,Preferred
SUP1150,Supplier_150,Raw Materials,India,92.56,69.86,-5.93,45.8,1.33,98.46,93.37,457,41829.53,42,4,73.26,Preferred
SUP1151,Supplier_151,Raw Materials,APAC,84.61,79.36,4.88,14.2,7.39,92.29,54.24,381,57376.84,20,2,72.85,Preferred
SUP1152,Supplier_152,Raw Materials,Europe,72.25,89.9,-6.24,11.6,6.57,78.39,52.75,384,109205.19,26,4,70.94,Preferred
SUP1153,Supplier_153,Raw Materials,India,84.96,78.95,14.2,8.7,2.83,68.94,14.11,483,167358.76,18,0,77.11,Preferred
SUP1154,Supplier_154,Packaging,APAC,81.08,62.31,1.17,44.8,5.25,97.34,0.08,153,83358.74,22,3,79.84,Preferred
SUP1155,Supplier_155,Raw Materials,Europe,77.04,98.31,2.54,56.1,4.3,73.78,81.01,275,144810.18,49,2,72.69,Preferred
SUP1156,Supplier_156,Mechanical Parts,India,65.23,97.71,-3.83,28.7,5.42,66.44,8.76,118,175953.42,42,1,77.82,Preferred
SUP1157,Supplier_157,Chemicals,India,95.46,91.41,1.77,11.6,5.46,82.53,63.38,203,47178.68,34,0,78.6,Preferred
SUP1158,Supplier_158,Raw Materials,APAC,77.99,99.65,6.55,33.2,5.03,97.75,91.46,44,162402.43,39,3,73.36,Preferred
SUP1159,Supplier_159,Packaging,Middle East,67.78,81.78,8.78,24.2,2.13,60.15,20.87,476,152693.43,41,0,73.52,Preferred
SUP1160,Supplier_160,Packaging,India,74.71,98.51,8.85,25.6,0.31,69.52,66.53,399,74602.77,47,0,75.79,Preferred
SUP1161,Supplier_161,Raw Materials,India,76.57,63.02,4.45,39.2,3.64,97.54,7.87,284,197956.39,4,1,78.37,Preferred
SUP1162,Supplier_162,Chemicals,Europe,93.1,74.63,12.61,44.5,7.13,66.84,60.38,196,56201.61,40,3,66.99,Approved
SUP1163,Supplier_163,Raw Materials,North America,89.34,69.02,10.44,11.1,4.56,64.53,16.39,446,54686.64,7,0,74.12,Preferred
SUP1164,Supplier_164,Packaging,APAC,90.77,67.83,8.93,7.0,6.66,82.81,73.6,252,155590.54,10,1,66.69,Approved
SUP1165,Supplier_165,Electronics,APAC,60.44,65.63,-8.61,59.7,7.93,94.47,30.12,273,89758.18,15,2,65.66,Approved
SUP1166,Supplier_166,Mechanical Parts,Middle East,76.65,84.9,-9.83,17.8,1.31,79.08,46.34,471,69505.02,38,1,76.04,Preferred
SUP1167,Supplier_167,Packaging,Middle East,79.25,91.25,-4.69,8.0,5.53,99.78,59.94,19,39839.25,46,4,76.66,Preferred
SUP1168,Supplier_168,Raw Materials,APAC,60.77,83.13,6.59,15.4,5.39,87.17,17.13,460,154239.82,23,1,74.11,Preferred
SUP1169,Supplier_169,Mechanical Parts,Middle East,70.39,65.88,0.28,7.1,7.84,62.96,74.16,175,158332.75,20,1,59.46,Approved
SUP1170,Supplier_170,Raw Materials,Europe,90.41,92.44,0.06,26.5,7.88,99.71,30.26,38,115479.98,22,1,83.23,Preferred
SUP1171,Supplier_171,Raw Materials,APAC,65.48,85.44,12.11,49.1,5.49,76.32,66.24,280,191676.15,48,0,65.12,Approved
SUP1172,Supplier_172,Electronics,Middle East,81.41,75.53,12.39,23.8,1.95,71.5,15.83,96,67041.84,37,3,76.92,Preferred
SUP1173,Supplier_173,Mechanical Parts,APAC,68.61,86.97,12.73,29.4,6.39,82.32,68.81,32,47825.71,46,1,65.71,Approved
SUP1174,Supplier_174,Mechanical Parts,North America,60.48,70.4,-2.15,42.2,0.86,72.17,12.82,219,137106.02,7,1,75.12,Preferred
SUP1175,Supplier_175,Electronics,India,69.65,73.81,7.28,33.0,6.25,63.46,42.54,55,152889.68,6,4,65.57,Approved
SUP1176,Supplier_176,Packaging,APAC,99.03,96.7,-3.21,52.4,7.28,60.06,24.72,476,48856.66,1,4,80.99,Preferred
SUP1177,Supplier_177,Raw Materials,India,92.06,71.62,-5.23,52.6,3.06,77.98,74.84,37,19939.1,29,2,71.76,Preferred
SUP1178,Supplier_178,Chemicals,Middle East,98.38,78.8,-5.38,5.5,5.05,93.47,26.2,35,163050.71,12,2,82.72,Preferred
SUP1179,Supplier_179,Raw Materials,India,79.51,95.61,-1.45,47.8,3.44,82.89,88.17,275,195417.88,22,4,74.11,Preferred
SUP1180,Supplier_180,Raw Materials,APAC,64.39,88.31,0.75,30.3,3.5,99.97,89.18,184,130711.1,28,3,71.07,Preferred
SUP1181,Supplier_181,Packaging,North America,81.92,62.49,10.77,59.4,2.48,71.47,19.64,13,59184.05,37,2,73.17,Preferred
SUP1182,Supplier_182,Raw Materials,Middle East,78.18,65.89,-7.0,31.6,6.1,71.22,61.38,320,199351.16,36,3,64.29,Approved
SUP1183,Supplier_183,Electronics,APAC,93.77,60.31,8.37,59.3,7.49,66.39,8.77,331,179186.99,19,4,72.16,Preferred
SUP1184,Supplier_184,Electronics,Middle East,63.92,85.24,3.29,46.5,7.53,66.56,39.15,76,105109.23,32,2,67.88,Approved
SUP1185,Supplier_185,Mechanical Parts,Europe,79.53,77.91,-2.8,18.7,1.4,71.41,71.33,144,165937.65,28,1,72.13,Preferred
SUP1186,Supplier_186,Chemicals,India,66.0,65.37,2.32,34.6,7.0,91.71,65.94,64,164085.0,49,4,64.01,Approved
SUP1187,Supplier_187,Raw Materials,Europe,72.99,98.32,-2.5,59.6,5.9,96.23,62.47,473,187285.8,14,2,76.24,Preferred
SUP1188,Supplier_188,Raw Materials,APAC,89.49,81.19,4.9,52.2,2.02,99.0,28.25,40,168980.15,22,3,84.79,Preferred
SUP1189,Supplier_189,Packaging,North America,79.04,69.68,0.85,10.4,0.54,69.29,37.8,83,130517.45,41,3,76.11,Preferred
SUP1190,Supplier_190,Electronics,Middle East,75.04,80.02,-5.89,43.9,2.14,95.25,10.29,28,123814.23,2,2,82.6,Preferred
SUP1191,Supplier_191,Chemicals,India,75.78,87.18,-7.09,24.0,7.3,73.13,71.9,165,96134.67,36,3,66.5,Approved
SUP1192,Supplier_192,Mechanical Parts,Middle East,78.38,63.05,3.67,5.4,5.07,64.51,50.39,346,127164.7,28,2,66.3,Approved
